       58	2025-01-02 07:16:38	1	0	1	0
        2	2025-01-02 07:20:31	1	0	1	0
       11	2025-01-02 07:34:51	1	0	1	0
       39	2025-01-02 07:43:55	1	0	1	0
       36	2025-01-02 07:44:01	1	0	1	0
       40	2025-01-02 07:48:52	1	0	1	0
       55	2025-01-02 07:53:41	1	0	1	0
       23	2025-01-02 07:54:11	1	0	1	0
       26	2025-01-02 07:54:17	1	0	1	0
        7	2025-01-02 07:54:37	1	0	1	0
       24	2025-01-02 07:56:51	1	0	1	0
       15	2025-01-02 07:58:50	1	0	1	0
       30	2025-01-02 07:59:49	1	0	1	0
       31	2025-01-02 08:02:36	1	0	1	0
       56	2025-01-02 08:04:22	1	0	1	0
       57	2025-01-02 08:06:30	1	0	1	0
        6	2025-01-02 08:07:21	1	0	1	0
       32	2025-01-02 08:16:55	1	0	1	0
       27	2025-01-02 08:23:33	1	0	1	0
       12	2025-01-02 08:27:50	1	0	1	0
       20	2025-01-02 08:30:37	1	0	1	0
        6	2025-01-02 12:01:59	1	2	1	0
       40	2025-01-02 12:02:33	1	2	1	0
       24	2025-01-02 12:02:38	1	2	1	0
       11	2025-01-02 12:02:45	1	2	1	0
       15	2025-01-02 12:02:58	1	2	1	0
       31	2025-01-02 12:03:09	1	2	1	0
       23	2025-01-02 12:03:22	1	2	1	0
       39	2025-01-02 12:03:57	1	2	1	0
       36	2025-01-02 12:04:08	1	2	1	0
       21	2025-01-02 12:05:00	1	2	1	0
        7	2025-01-02 12:05:10	1	2	1	0
       26	2025-01-02 12:06:03	1	2	1	0
        6	2025-01-02 12:06:22	1	2	1	0
       27	2025-01-02 12:06:42	1	2	1	0
       57	2025-01-02 12:06:48	1	2	1	0
       30	2025-01-02 12:08:02	1	2	1	0
       23	2025-01-02 12:08:09	1	3	1	0
       55	2025-01-02 12:08:35	1	2	1	0
       39	2025-01-02 12:09:11	1	3	1	0
       36	2025-01-02 12:09:16	1	3	1	0
        2	2025-01-02 12:09:46	1	2	1	0
       21	2025-01-02 12:10:17	1	3	1	0
        7	2025-01-02 12:10:28	1	3	1	0
       32	2025-01-02 12:12:11	1	2	1	0
       27	2025-01-02 12:12:27	1	3	1	0
       24	2025-01-02 12:12:54	1	3	1	0
       26	2025-01-02 12:13:03	1	3	1	0
       15	2025-01-02 12:13:11	1	3	1	0
       31	2025-01-02 12:13:15	1	3	1	0
       40	2025-01-02 12:13:31	1	3	1	0
       20	2025-01-02 12:14:02	1	2	1	0
       30	2025-01-02 12:15:11	1	3	1	0
        2	2025-01-02 12:16:20	1	3	1	0
       20	2025-01-02 12:19:35	1	3	1	0
       57	2025-01-02 12:21:49	1	3	1	0
       14	2025-01-02 12:26:51	1	2	1	0
       11	2025-01-02 12:28:57	1	3	1	0
       58	2025-01-02 12:30:48	1	2	1	0
       14	2025-01-02 12:31:05	1	3	1	0
       32	2025-01-02 12:31:19	1	3	1	0
       56	2025-01-02 12:31:27	1	2	1	0
       55	2025-01-02 12:35:38	1	3	1	0
       58	2025-01-02 12:36:16	1	3	1	0
       56	2025-01-02 12:36:32	1	3	1	0
       27	2025-01-02 17:01:16	1	1	1	0
       26	2025-01-02 17:01:22	1	1	1	0
       57	2025-01-02 17:01:27	1	1	1	0
        2	2025-01-02 17:04:32	1	1	1	0
       23	2025-01-02 17:05:13	1	1	1	0
        6	2025-01-02 17:06:39	1	1	1	0
       11	2025-01-02 17:11:41	1	1	1	0
       15	2025-01-02 17:11:48	1	1	1	0
       56	2025-01-02 17:12:03	1	1	1	0
       21	2025-01-02 17:13:35	1	1	1	0
       14	2025-01-02 17:13:42	1	1	1	0
        7	2025-01-02 17:13:53	1	1	1	0
       36	2025-01-02 17:16:42	1	1	1	0
       39	2025-01-02 17:16:44	1	1	1	0
       30	2025-01-02 17:37:36	1	1	1	0
       24	2025-01-02 17:39:04	1	1	1	0
       31	2025-01-02 17:39:43	1	1	1	0
